location,continent,date,population,total_cases,total_deaths,total_tests,total_vaccinations,people_fully_vaccinated,cases_per_million,deaths_per_million,vaccination_rate_pct,case_fatality_rate,testing_rate,gdp_per_capita,median_age,aged_65_older,population_density,life_expectancy,human_development_index,hospital_beds_per_thousand,stringency_index
Afghanistan,Asia,2024-08-04,41128772.0,235214.0,7998.0,994894.0,22964750.0,18370386.0,5718.96,194.46,44.67,3.4,24.19,1803.99,18.6,2.58,54.42,64.83,0.51,0.5,0.0
Albania,Europe,2024-08-04,2842318.0,335047.0,3605.0,1613870.0,3088966.0,1279333.0,117878.08,1268.33,45.01,1.076,567.8,11803.43,38.0,13.19,104.87,78.57,0.8,2.89,11.11
Algeria,Africa,2024-08-04,44903228.0,272139.0,6881.0,230553.0,15267442.0,6481186.0,6060.57,153.24,14.43,2.528,5.13,13913.84,29.1,6.21,17.35,76.88,0.75,1.9,11.11
American Samoa,Oceania,2024-08-04,44295.0,8359.0,34.0,0.0,0.0,0.0,188712.04,767.58,0.0,0.407,0.0,5819.5,16.8,2.4,278.2,73.74,0.87,3.8,0.0
Andorra,Europe,2024-08-04,79843.0,48015.0,159.0,300307.0,157072.0,53501.0,601367.68,1991.41,67.01,0.331,3761.22,5819.5,16.8,2.4,163.76,83.73,0.87,3.8,11.11
Angola,Africa,2024-08-04,35588996.0,107481.0,1937.0,1618566.0,27819132.0,9609080.0,3020.06,54.43,27.0,1.802,45.48,5819.5,16.8,2.4,23.89,61.15,0.58,3.8,17.02
Anguilla,North America,2024-08-04,15877.0,3904.0,12.0,51382.0,24604.0,10380.0,245890.28,755.81,65.38,0.307,3236.25,21490.94,32.1,6.93,231.84,81.88,0.78,3.8,0.0
Antigua and Barbuda,North America,2024-08-04,93772.0,9106.0,146.0,16700.0,136512.0,62384.0,97107.88,1556.97,66.53,1.603,178.09,21490.94,32.1,6.93,231.84,77.02,0.78,3.8,0.0
Argentina,South America,2024-08-04,45510324.0,10101218.0,130663.0,36663990.0,116978521.0,34900613.0,221954.43,2871.06,76.69,1.294,805.62,18933.91,31.9,11.2,16.18,76.67,0.84,5.0,14.38
Armenia,Asia,2024-08-04,2780472.0,452273.0,8777.0,3102267.0,2256919.0,1030758.0,162660.51,3156.66,37.07,1.941,1115.73,8787.58,35.7,11.23,102.93,75.09,0.78,4.2,0.0
Aruba,North America,2024-08-04,106459.0,44224.0,292.0,793.0,174914.0,84368.0,415408.75,2742.84,79.25,0.66,7.45,35973.78,41.2,13.08,584.8,76.29,0.94,3.84,25.93
Australia,Oceania,2024-08-04,26177410.0,11861161.0,25236.0,73370295.0,69686752.0,21647523.0,453106.74,964.04,82.7,0.213,2802.81,44648.71,37.9,15.5,3.2,83.44,0.94,3.84,11.11
Austria,Europe,2024-08-04,8939617.0,6082444.0,22534.0,189791719.0,20468731.0,6683263.0,680392.01,2520.69,74.76,0.37,21230.41,45436.69,44.4,19.2,106.75,81.54,0.92,7.37,35.19
Azerbaijan,Asia,2024-08-04,10358078.0,835757.0,10353.0,6947820.0,13857111.0,4862494.0,80686.49,999.51,46.94,1.239,670.76,15847.42,32.4,6.02,119.31,73.0,0.76,4.7,34.94
Bahamas,North America,2024-08-04,409989.0,39127.0,849.0,241200.0,366359.0,166972.0,95434.27,2070.79,40.73,2.17,588.31,27717.85,34.3,9.0,39.5,73.92,0.81,2.9,20.37
Bahrain,Asia,2024-08-04,1472237.0,696614.0,1536.0,9969082.0,3476633.0,1226796.0,473167.02,1043.31,83.33,0.22,6771.38,43290.7,32.4,2.37,1935.91,77.29,0.85,2.0,11.11
Bangladesh,Asia,2024-08-04,171186368.0,2051348.0,29499.0,13820904.0,361742554.0,142201684.0,11983.13,172.32,83.07,1.438,80.74,3523.98,27.5,5.1,1265.04,72.59,0.63,0.8,13.89
Barbados,North America,2024-08-04,281646.0,108582.0,593.0,697476.0,384049.0,155047.0,385526.51,2105.48,55.05,0.546,2476.43,16978.07,39.8,14.95,664.46,79.19,0.81,5.8,11.11
Belarus,Europe,2024-08-04,9534956.0,994037.0,7118.0,13220483.0,22511000.0,6414996.0,104251.87,746.52,67.28,0.716,1386.53,17167.97,40.3,14.8,46.86,74.79,0.82,11.0,0.0
Belgium,Europe,2024-08-04,11655923.0,4872829.0,34339.0,34315605.0,31469387.0,9170945.0,418056.04,2946.06,78.68,0.705,2944.05,42658.58,41.8,18.57,375.56,81.63,0.93,5.64,11.11
Belize,North America,2024-08-04,405285.0,71414.0,688.0,572900.0,510717.0,221402.0,176206.87,1697.57,54.63,0.963,1413.57,7824.36,25.0,3.85,16.43,74.62,0.72,1.3,11.11
Benin,Africa,2024-08-04,13352864.0,28036.0,163.0,604310.0,4232541.0,2742837.0,2099.62,12.21,20.54,0.581,45.26,2064.24,18.8,3.24,99.11,61.77,0.55,0.5,11.11
Bermuda,North America,2024-08-04,64207.0,18860.0,165.0,41927.0,132042.0,47657.0,293737.44,2569.81,74.22,0.875,653.0,50669.32,28.6,4.88,1308.82,82.59,0.65,1.7,11.11
Bhutan,Asia,2024-08-04,782457.0,62697.0,21.0,1711669.0,2011426.0,677669.0,80128.36,26.84,86.61,0.033,2187.56,8708.6,28.6,4.88,21.19,71.78,0.65,1.7,5.56
Bolivia,South America,2024-08-04,12224114.0,1212147.0,22387.0,4440371.0,14690530.0,6160585.0,99160.32,1831.38,50.4,1.847,363.25,6885.83,25.4,6.7,10.2,71.51,0.72,1.1,24.07
Bonaire Sint Eustatius and Saba,North America,2024-08-04,27052.0,11922.0,41.0,0.0,35845.0,16736.0,440706.79,1515.6,61.87,0.344,0.0,11713.9,42.5,16.57,68.5,77.79,0.78,3.5,0.0
Bosnia and Herzegovina,Europe,2024-08-04,3233530.0,403666.0,16392.0,1499302.0,1924950.0,846080.0,124837.56,5069.38,26.17,4.061,463.67,11713.9,42.5,16.57,68.5,77.4,0.78,3.5,25.93
Botswana,Africa,2024-08-04,2630300.0,330696.0,2801.0,2285160.0,3171667.0,1663490.0,125725.58,1064.9,63.24,0.847,868.78,15807.37,25.8,3.94,4.04,69.59,0.74,1.8,0.0
Brazil,South America,2024-08-04,215313504.0,37511921.0,702116.0,70923215.0,486436436.0,176164186.0,174220.01,3260.9,81.82,1.872,329.4,14103.45,33.5,8.55,25.04,75.88,0.76,2.2,22.22
British Virgin Islands,North America,2024-08-04,31332.0,7557.0,64.0,96630.0,41453.0,18261.0,241191.11,2042.64,58.28,0.847,3084.07,71809.25,32.4,4.59,207.97,79.07,0.84,2.7,0.0
Brunei,Asia,2024-08-04,449002.0,347723.0,179.0,93192.0,1293100.0,446714.0,774435.3,398.66,99.49,0.051,207.55,71809.25,32.4,4.59,81.35,75.86,0.84,2.7,11.11
Bulgaria,Europe,2024-08-04,6781955.0,1329988.0,38700.0,10080207.0,4726614.0,2078006.0,196106.87,5706.32,30.64,2.91,1486.33,18563.31,44.7,20.8,65.18,75.05,0.82,7.45,11.11
Burkina Faso,Africa,2024-08-04,22673764.0,22139.0,400.0,324773.0,7893609.0,5232347.0,976.41,17.64,23.08,1.807,14.32,1703.1,17.6,2.41,70.15,61.58,0.45,0.4,8.33
Burundi,Africa,2024-08-04,12889583.0,54569.0,15.0,1611285.0,42252.0,36321.0,4233.57,1.16,0.28,0.027,125.01,702.22,17.5,2.56,423.06,61.58,0.43,0.8,19.44
Cambodia,Asia,2024-08-04,16767851.0,139319.0,3056.0,2977609.0,47826645.0,14693274.0,8308.7,182.25,87.63,2.194,177.58,3645.07,25.6,4.41,90.67,69.82,0.59,0.8,5.56
Cameroon,Africa,2024-08-04,27914542.0,125246.0,1974.0,2731181.0,4880572.0,3197286.0,4486.77,70.72,11.45,1.576,97.84,3364.93,18.8,3.16,50.88,59.29,0.56,1.3,8.33
Canada,North America,2024-08-04,38454328.0,4819055.0,55282.0,62177630.0,102877159.0,31758251.0,125318.92,1437.6,82.59,1.147,1616.92,44017.59,41.4,16.98,4.04,82.43,0.93,2.5,5.56
Cape Verde,Africa,2024-08-04,593162.0,64474.0,417.0,0.0,859940.0,308720.0,108695.43,703.01,52.05,0.647,0.0,6222.55,25.7,4.46,135.58,72.98,0.66,2.1,11.11
Cayman Islands,North America,2024-08-04,68722.0,31472.0,37.0,9358.0,152148.0,60696.0,457961.06,538.4,88.32,0.118,136.17,49903.03,18.3,3.66,256.5,83.92,0.4,1.0,0.0
Central African Republic,Africa,2024-08-04,5579148.0,15441.0,113.0,94759.0,3342248.0,2484985.0,2767.63,20.25,44.54,0.732,16.98,661.24,18.3,3.66,7.48,53.28,0.4,1.0,8.33
Chad,Africa,2024-08-04,17723312.0,7702.0,194.0,218873.0,9151765.0,5020360.0,434.57,10.95,28.33,2.519,12.35,1768.15,16.7,2.49,11.83,54.24,0.4,2.11,13.89
Chile,South America,2024-08-04,19603736.0,5401126.0,64482.0,39773213.0,66864900.0,17700117.0,275515.14,3289.27,90.29,1.194,2028.86,22767.04,35.4,11.09,24.28,80.18,0.85,2.11,13.89
China,Asia,2024-08-04,1425887360.0,99373219.0,122304.0,9214000000.0,3491077000.0,1276760000.0,69692.19,85.77,89.54,0.123,6461.94,15308.71,38.7,10.64,147.67,76.91,0.76,4.34,49.54
