date,total_cases,total_deaths,total_vaccinations,new_cases,new_deaths,cases_7day_ma,deaths_7day_ma,countries_reporting
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-05,2.0,3.0,0.0,2.0,3.0,2.0,3.0,233
2020-01-06,2.0,3.0,0.0,0.0,0.0,1.0,1.5,233
2020-01-07,2.0,3.0,0.0,0.0,0.0,0.66,1.0,233
2020-01-08,2.0,3.0,0.0,0.0,0.0,0.5,0.75,233
2020-01-09,2.0,3.0,0.0,0.0,0.0,0.4,0.6,233
2020-01-10,2.0,3.0,0.0,0.0,0.0,0.34,0.5,233
2020-01-11,2.0,3.0,0.0,0.0,0.0,0.28,0.43,233
2020-01-12,47.0,4.0,0.0,45.0,1.0,6.43,0.14,233
2020-01-13,47.0,4.0,0.0,0.0,0.0,6.43,0.14,233
2020-01-14,47.0,4.0,0.0,0.0,0.0,6.43,0.14,233
2020-01-15,47.0,4.0,0.0,0.0,0.0,6.43,0.14,233
2020-01-16,47.0,4.0,0.0,0.0,0.0,6.43,0.14,234
2020-01-17,47.0,4.0,0.0,0.0,0.0,6.43,0.14,234
2020-01-18,47.0,4.0,0.0,0.0,0.0,6.43,0.14,234
2020-01-19,137.0,6.0,0.0,90.0,2.0,12.86,0.29,234
2020-01-20,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-21,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-22,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-23,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-24,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-25,137.0,6.0,0.0,0.0,0.0,12.86,0.29,234
2020-01-26,2033.0,62.0,0.0,1896.0,56.0,270.85,8.0,234
2020-01-27,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,234
2020-01-28,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,234
2020-01-29,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,234
2020-01-30,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,234
2020-01-31,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,235
2020-02-01,2033.0,62.0,0.0,0.0,0.0,270.85,8.0,235
2020-02-02,14570.0,372.0,0.0,12538.0,310.0,1791.13,44.28,235
2020-02-03,14570.0,372.0,0.0,0.0,0.0,1791.13,44.28,235
2020-02-04,14570.0,372.0,0.0,0.0,0.0,1791.13,44.28,235
2020-02-05,14570.0,372.0,0.0,0.0,0.0,1791.13,44.28,235
